2023-11-02 17:19:00.489 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:00.502 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:01.359 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:01.373 | INFO     | libs.master:_execute:169 - 线程id: d82df030-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:01.376 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:01.407 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:01.408 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:01.409 | INFO     | libs.master:execute:191 - 获取线程id dc4076fc-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:01.410 | INFO     | libs.master:_execute:144 - 线程id: dc4076fc-7960-11ee-88da-0242ac120002 获取子进程成功
2023-11-02 17:19:01.411 | INFO     | libs.master:execute:199 - 线程id: dc4076fc-7960-11ee-88da-0242ac120002 任务执行中。
2023-11-02 17:19:01.412 | INFO     | libs.master:_execute:155 - 线程id: dc4076fc-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:01.414 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:01.415 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:01.490 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:01.503 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:02.491 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:02.504 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:03.492 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:03.506 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:04.493 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:04.507 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:04.832 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:04.843 | INFO     | libs.master:_execute:169 - 线程id: dc4076fc-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:04.845 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:04.871 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:04.872 | INFO     | libs.master:execute:191 - 获取线程id de50c230-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:04.871 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:04.872 | INFO     | libs.master:_execute:144 - 线程id: de50c230-7960-11ee-88da-0242ac120002 获取子进程成功
2023-11-02 17:19:04.873 | INFO     | libs.master:execute:199 - 线程id: de50c230-7960-11ee-88da-0242ac120002 任务执行中。
2023-11-02 17:19:04.874 | INFO     | libs.master:_execute:155 - 线程id: de50c230-7960-11ee-88da-0242ac120002 获取任务信息成功
2023-11-02 17:19:04.876 | INFO     | libs.worker:worker_watch_dog:114 - 子进程获取到请求任务。
2023-11-02 17:19:04.877 | INFO     | libs.worker:execute:99 - 子进程开始执行请求任务。
2023-11-02 17:19:05.494 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:05.509 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:06.495 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:06.510 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:07.496 | INFO     | libs.master:_thread_task_manager:225 - current_task_number: 1
2023-11-02 17:19:07.510 | INFO     | libs.master:_manager_subprocess:129 - current_task_number: 2
2023-11-02 17:19:07.956 | INFO     | libs.worker:execute:101 - 子进程执行请求任务完成。
2023-11-02 17:19:07.963 | INFO     | libs.master:_execute:169 - 线程id: de50c230-7960-11ee-88da-0242ac120002 获取到子进程执行结果，任务结束。
2023-11-02 17:19:07.965 | INFO     | libs.app:get_content:46 - 任务执行成功
2023-11-02 17:19:08.000 | INFO     | libs.app:get_content:38 - 发送具体任务
2023-11-02 17:19:08.000 | INFO     | libs.master:watch_dog:237 - 获取到api接口任务，准备执行任务。
2023-11-02 17:19:08.002 | INFO     | libs.master:execute:191 - 获取线程id e02e7868-7960-11ee-88da-0242ac120002 成功，创建子线程执行任务。
2023-11-02 17:19:08.003 | INFO     | libs.master:_execute:144 - 线程id: e02e7868-7960-11ee-88da-0242ac120002 获取子进程成功
